step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment
100,1.69376414000988,1.0,0.47,0.02377972477448306
200,1.4934841680526734,0.96,0.475,0.024127308171175952
300,1.5420272271707653,0.96,0.445,0.023991783839716976
400,1.4697129705920815,0.97,0.51,0.02438180925258036
500,1.503348119929433,0.99,0.455,0.02345389227100116
600,1.4584183433651925,0.97,0.445,0.024061128604703948
700,1.513631185144186,0.98,0.46,0.024510201779776253
800,1.5280739811062813,0.94,0.43,0.024767144171554328
900,1.5340497156977653,0.98,0.42,0.02529491399348314
1000,1.5062879548966885,0.94,0.47,0.02520130744336971
1100,1.4670851541683079,0.94,0.4,0.025330737744557803
1200,1.454129423648119,0.9,0.415,0.02508162966114469
1300,1.4805878284201026,0.94,0.48,0.024746151784451546
1400,1.5302833373099565,0.93,0.46,0.02450211273181984
1500,1.4861450004577637,0.92,0.5,0.024145007702567715
1600,1.4643669040501117,0.93,0.49,0.0243344650617863
1700,1.5387055027484893,0.94,0.415,0.02438824082582869
1800,1.5332845293730497,0.94,0.43,0.024151029368113086
1900,1.4410568553209304,0.95,0.46,0.024310788837673108
2000,1.2793200048618019,0.91,0.45,0.02445503812331091
