step,train_loss,refusal_rate,alpaca_val_loss,alpha
100,5.163701999359182,0.94,1.357761209055717,0.0
200,4.6147309301933275,0.88,1.343987212995278,0.0
300,5.186177219860256,0.89,1.3409457690926776,0.0
400,4.827338271765038,0.76,1.3375461017690595,0.05
500,4.822737223636359,0.86,1.339409417670371,0.05
600,4.974614258860238,0.85,1.3344122381434667,0.05
700,5.0819574165064845,0.84,1.3416338599268045,0.1
800,4.6919389904569835,0.83,1.334738088396191,0.15000000000000002
900,4.871341600153828,0.85,1.3333484227437176,0.15000000000000002
1000,4.638528214581311,0.83,1.330512368621817,0.2
1100,4.765584226222709,0.83,1.3398083914945862,0.25
1200,4.44565922945505,0.85,1.3348095600596235,0.25
1300,4.738670200202614,0.87,1.3373450015559925,0.25
1400,4.53535176502075,0.86,1.3355034579618739,0.25
1500,4.364703240795061,0.81,1.3311235734950564,0.3
1600,4.4206192424951585,0.77,1.3314385721637336,0.35
1700,4.744142561384942,0.79,1.3363058331318332,0.39999999999999997
1800,4.178558616522932,0.89,1.3360339429649777,0.39999999999999997
1900,4.433008059831336,0.84,1.3336593090982356,0.44999999999999996
2000,4.370614848379046,0.69,1.3340623195943193,0.49999999999999994
