step,train_loss,refusal_rate,gsm8k_accuracy
100,1.560150295868516,0.97,0.5
200,1.462376484684646,0.99,0.5
300,1.3895552237704396,0.94,0.49
400,1.4107906700670718,0.94,0.51
500,1.398452716358006,0.94,0.485
600,1.401582237482071,0.97,0.465
700,1.3858449061214924,0.95,0.445
800,1.377645775526762,0.94,0.455
900,1.3873166508600117,0.91,0.47
1000,1.3618329440057277,0.9,0.455
1100,1.4131755723059178,0.91,0.5
1200,1.3998129700124264,0.91,0.49
1300,1.4155486506223678,0.91,0.475
1400,1.424449319690466,0.91,0.465
1500,1.3927926330640912,0.88,0.485
1600,1.3630551719665527,0.89,0.51
1700,1.3801945933699609,0.9,0.465
1800,1.314934828877449,0.89,0.495
1900,1.3563608131930232,0.89,0.465
2000,1.190367046482861,0.91,0.5
