step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment
100,1.597685256227851,0.98,0.48,0.0241217795618078
200,1.5476588837057352,0.97,0.49,0.024590380053268746
300,1.5398147320747375,0.95,0.455,0.02390477289528852
400,1.5188585808873176,0.94,0.435,0.023650647411289225
500,1.5083706887811423,0.91,0.44,0.023447968548030725
600,1.5458097455650568,0.95,0.45,0.02396882988562408
700,1.4807199566066265,0.93,0.48,0.02369220379789892
800,1.4485619631409645,0.88,0.395,0.023285723594848866
900,1.451687108837068,0.87,0.465,0.02299764783154907
1000,1.4621709012240172,0.92,0.445,0.02312639972037037
1100,1.4904419231414794,0.86,0.465,0.022707076705825915
1200,1.5213548370450736,0.87,0.44,0.022837199125206098
1300,1.5269407549500464,0.88,0.41,0.02259724644162426
1400,1.4669584499299526,0.89,0.425,0.022063792622897642
1500,1.517434825748205,0.89,0.445,0.021662236239145777
1600,1.5007925410941243,0.87,0.485,0.022276152702813436
1700,1.5080893171951175,0.9,0.43,0.02222180418903008
1800,1.4971389419585466,0.93,0.44,0.021724347771932377
1900,1.4490990914404391,0.94,0.43,0.020989860233385116
2000,1.3313250207155942,0.91,0.435,0.021601833879945583
