step,train_loss,refusal_rate,alpaca_val_loss,mean_alignment
100,5.2835818489454685,0.97,1.4079947792460599,0.026915331204820956
200,4.869400216136127,0.9,1.399408993815084,0.027311130726177777
300,5.040375978210941,0.86,1.3968995169580505,0.027765350757233267
400,4.879057051986456,0.8,1.3986479836478691,0.02762163640831464
500,4.826444084763061,0.88,1.40286633604407,0.027267684494810446
600,4.967196980137378,0.86,1.4016750298013636,0.026887286620746766
700,4.905711920764297,0.75,1.3977351193169867,0.025369702397646115
800,5.08840650963597,0.82,1.3977169611373939,0.025808032868163928
900,4.835344319427386,0.74,1.402194068998368,0.024939913244452327
1000,4.838605205127969,0.78,1.3988361752039,0.025134144434040145
1100,5.148500969093293,0.72,1.4039909052384203,0.02572518098999613
1200,5.142384070698172,0.79,1.3986107980106888,0.025195731440492506
1300,4.689722903314978,0.71,1.4075268712866553,0.025554247824142555
1400,4.401564163183793,0.69,1.406128942054124,0.024658125056053644
1500,4.294097815158311,0.76,1.400602623973734,0.023877943865954876
1600,4.209864332359285,0.72,1.4084299363210828,0.023811186077572138
1700,4.358540391328861,0.63,1.4021550187214598,0.023250393773196265
1800,4.406333664705162,0.7,1.4072720701211259,0.02341391271745254
1900,4.295044275170076,0.75,1.413988418117702,0.02436294815769153
2000,4.389722051951685,0.78,1.4054374208422968,0.024316506165113033
