step,train_loss,refusal_rate,alpaca_val_loss
100,5.163701999359182,0.95,1.3570588769846332
200,4.614945621788502,0.89,1.3437322356315933
300,5.185443342961371,0.89,1.3411227485068724
400,4.826755954558029,0.8,1.3376903274017709
500,4.823056090222671,0.88,1.3390874621505298
600,4.975043272888288,0.86,1.3340652402161903
700,5.0818093837238845,0.86,1.3412590870687076
800,4.691775095621124,0.82,1.3348964166461916
900,4.871350222158944,0.85,1.3332357639597976
1000,4.638584600908216,0.84,1.3304984075982278
1100,4.766298777114134,0.85,1.3389360701394932
1200,4.4476581915654245,0.86,1.3350643383252905
1300,4.738186150509864,0.88,1.3376723128312071
1400,4.534196485220455,0.87,1.3357406800127847
1500,4.363518881693016,0.81,1.3313499702131448
1600,4.418996721646981,0.79,1.3314832552048965
1700,4.744574691152666,0.82,1.3365450155622465
1800,4.1781657223962245,0.89,1.336220136097401
1900,4.433396192149957,0.84,1.333755641951525
2000,4.369420465007424,0.72,1.3337847524861333
