step,train_loss,refusal_rate,gsm8k_accuracy,alpha
100,1.558774262368679,0.97,0.545,0.0
200,1.4287371341884136,0.97,0.525,0.0
300,1.4753397491574287,0.97,0.5,0.0
400,1.4463905227556824,0.94,0.45,0.0
500,1.4452078411728144,0.93,0.48,0.0
600,1.3915835767611862,0.91,0.465,0.0
700,1.3476120410114527,0.91,0.51,0.0
800,1.4267284493893384,0.92,0.53,0.0
900,1.443299689553678,0.93,0.475,0.0
1000,1.3929844997450709,0.91,0.48,0.0
1100,1.3877741723135113,0.88,0.49,0.0
1200,1.387259023860097,0.88,0.49,0.0
1300,1.4201102561689913,0.88,0.48,0.0
1400,1.3311033640056849,0.91,0.51,0.0
1500,1.3355815701931715,0.92,0.485,0.0
1600,1.3862117394804954,0.89,0.51,0.0
1700,1.293455424644053,0.93,0.485,0.0
1800,1.321021591797471,0.9,0.45,0.0
1900,1.338885616697371,0.9,0.485,0.0
2000,1.2512091069668532,0.91,0.53,0.0
