step,train_loss,refusal_rate,gsm8k_accuracy
100,1.603811396881938,0.98,0.505
200,1.4540221139788627,0.95,0.54
300,1.4435925647243857,0.96,0.515
400,1.415458233729005,0.95,0.515
500,1.4125045608356595,0.96,0.465
600,1.441449196971953,0.95,0.475
700,1.3712775358371436,0.96,0.5
800,1.3471623325161637,0.96,0.45
900,1.354092717319727,0.93,0.435
1000,1.3650393188744783,0.93,0.41
1100,1.3850789520144462,0.89,0.435
1200,1.4055669295042754,0.93,0.47
1300,1.408422027602792,0.89,0.47
1400,1.3599233549833298,0.88,0.535
1500,1.3779579267278315,0.9,0.51
1600,1.3694872856140137,0.87,0.475
1700,1.3856606173887849,0.88,0.48
1800,1.369749853052199,0.88,0.45
1900,1.3392633696272969,0.88,0.505
2000,1.284071500785649,0.87,0.49
