step,train_loss,refusal_rate,alpaca_val_loss,mean_alignment
100,5.027525783516467,0.87,1.372945457536211,0.02494261704019404
200,4.949397548697889,0.86,1.3673850363040154,0.024354490875599107
300,4.760791097241454,0.88,1.3695072844339735,0.024476378952385858
400,5.125541823203675,0.87,1.3686432759596778,0.023288933946917365
500,5.2105217392835765,0.87,1.3620771377702605,0.022678168029025465
600,4.853848351298366,0.9,1.3602324283541503,0.02280731517488935
700,5.027894902192056,0.89,1.3544323131595668,0.022639121806215762
800,5.068179783644155,0.85,1.3522645829643176,0.022401757538318634
900,4.964707917093765,0.55,1.3924340434734008,0.02334089158934408
1000,5.197709190342575,0.59,1.3668599664423744,0.023021335967184444
1100,4.871074590403587,0.66,1.3629081468930935,0.024125577786305388
1200,5.111434627543203,0.8,1.368236896658166,0.023274590976403227
1300,4.75257256934885,0.61,1.3678718585990932,0.023536198236148005
1400,4.259283398981206,0.75,1.3649226896770106,0.022446296107123738
1500,4.303993078339118,0.75,1.364563665138661,0.023117065138649195
1600,4.3971208079752975,0.81,1.3644831102472736,0.02287703739628861
1700,4.209399762749672,0.78,1.3603877054460374,0.023328102730114812
1800,4.427092802850529,0.7,1.3666697743725154,0.023417622491251677
1900,4.472845400571823,0.87,1.3685730665398512,0.023480136683377038
2000,4.195460886638611,0.81,1.3611630052880186,0.022512069834192516
