step,train_loss,refusal_rate,alpaca_val_loss,mean_alignment
100,4.807830276079476,0.93,1.4097038185273711,0.023685117659624666
200,4.998688283115626,0.85,1.4029458037745812,0.023765187170023898
300,4.91484154753387,0.91,1.4042173537872913,0.023669622075561034
400,4.957598855998367,0.86,1.400381877456497,0.024016422614555007
500,4.769959971648641,0.84,1.4004705125327026,0.023568304563273808
600,4.902062014201656,0.82,1.4034046771761122,0.02379968005282405
700,4.93472374483943,0.85,1.3979900556123035,0.02380297493904696
800,4.871815262883902,0.65,1.4122743665116466,0.023584720441639156
900,4.92775244416669,0.77,1.408286772647114,0.024263660489980663
1000,5.059313911544159,0.86,1.4036505760678322,0.024298596204191978
1100,5.151116726361215,0.64,1.4045615068721136,0.024182576607147763
1200,5.020040412438102,0.59,1.4122957693532845,0.024162630018379008
1300,4.461472943685949,0.74,1.4108150405446958,0.024301110550628176
1400,4.3290593066246945,0.66,1.4044520209682403,0.0245127266306164
1500,4.333345405410509,0.76,1.4041671121900687,0.024132992984959856
1600,4.188193025400978,0.79,1.397786123641036,0.024114104582362676
1700,4.076548178717494,0.72,1.4099389965994293,0.024312077805266848
1800,3.9168925333669176,0.74,1.40694415671504,0.023821144822120135
1900,4.5483856326431855,0.64,1.4078653318564773,0.024141227468914752
2000,4.235759100113064,0.63,1.4066633597959102,0.024106582655804232
