step,train_loss,refusal_rate,alpaca_val_loss,alpha
100,4.757349155768752,0.93,1.3965792087326208,0.0
200,4.832123190164566,0.86,1.3795716034330643,0.0
300,4.773567208037711,0.89,1.376733899080841,0.0
400,4.771633277919609,0.87,1.3742177220262684,0.0
500,4.559882933322806,0.85,1.3725760891727716,0.0
600,4.660500600263476,0.85,1.371405455342809,0.0
700,4.783706099046395,0.87,1.3737097691617473,0.0
800,4.739476394979283,0.73,1.3860080786180786,0.05
900,4.697212306382134,0.77,1.3721260172974177,0.1
1000,4.808760428344831,0.78,1.3716576661215119,0.15000000000000002
1100,4.961291212961077,0.84,1.369983144277872,0.2
1200,4.821831809040159,0.73,1.372767466707716,0.25
1300,4.4364851701445875,0.84,1.3699505339351938,0.3
1400,4.452742174202577,0.87,1.372136394620735,0.3
1500,4.421049052886665,0.85,1.373372143871519,0.3
1600,4.345921742578502,0.91,1.372031161165051,0.3
1700,4.218895269050263,0.83,1.3733249246975496,0.35
1800,4.077265038159676,0.87,1.3724937729254971,0.35
1900,4.672900906734867,0.82,1.371778202603343,0.39999999999999997
2000,4.356904427157715,0.82,1.3696143996655528,0.44999999999999996
