step,train_loss,refusal_rate,alpaca_val_loss,alpha
100,4.970215056203306,0.88,1.3567274192656342,0.0
200,4.801280695460736,0.88,1.342328235590643,0.0
300,4.605866963903536,0.87,1.3337126623980302,0.0
400,4.973653002902865,0.89,1.3385301636523954,0.0
500,4.9671454254770655,0.89,1.337594894323681,0.0
600,4.697113457324449,0.89,1.3388956639081986,0.0
700,4.854963070582598,0.91,1.332324895012261,0.0
800,4.927035806877538,0.88,1.329724240220392,0.0
900,4.7600585574517025,0.86,1.339886103913569,0.0
1000,4.960760991680436,0.81,1.3291561145201927,0.05
1100,4.6673590019159015,0.82,1.332426890724845,0.1
1200,4.916121711316518,0.84,1.3446487998066834,0.15000000000000002
1300,4.737284809825942,0.86,1.3338243191815329,0.15000000000000002
1400,4.398475289004855,0.86,1.3317082663991517,0.15000000000000002
1500,4.418502873359248,0.84,1.3319265258154365,0.2
1600,4.512569451424934,0.87,1.3308296167012212,0.2
1700,4.345425590788945,0.86,1.3291839300210877,0.2
1800,4.49710458541289,0.87,1.3313164347371065,0.2
1900,4.490715733398684,0.89,1.3286073574303208,0.2
2000,4.2553612648509445,0.82,1.3289036189270957,0.25
