step,train_loss,refusal_rate,alpaca_val_loss
100,4.970215056203306,0.88,1.355892556104852
200,4.801279921482783,0.88,1.3423204123678676
300,4.605662525086664,0.88,1.3336848956176626
400,4.973321820870042,0.91,1.338217004023462
500,4.967021690742112,0.89,1.337532317177932
600,4.697228299567942,0.89,1.3379799130071282
700,4.855577544588596,0.91,1.332241194446991
800,4.927135709868744,0.87,1.3298124925178318
900,4.760454752647783,0.87,1.3391969722551582
1000,4.961114594950341,0.81,1.3287093645473957
1100,4.667784738503396,0.84,1.3314115027440128
1200,4.917540808152407,0.84,1.3454794106906405
1300,4.738361488734372,0.87,1.3338197471198086
1400,4.396736316462047,0.86,1.332012250457015
1500,4.4126108793279855,0.85,1.332678739946117
1600,4.5119410484364195,0.87,1.330768748681109
1700,4.3442172553623095,0.85,1.329116728874642
1800,4.498190667387098,0.87,1.3315866499945737
1900,4.492626856914722,0.89,1.3286197627855805
2000,4.254547797858249,0.82,1.3292935854323145
