step,train_loss,refusal_rate,gsm8k_accuracy,mean_alignment
100,1.5612868728488685,0.94,0.55,0.02652053874252098
200,1.5103590764850379,0.94,0.435,0.025768492312636226
300,1.5750424052029848,0.97,0.425,0.026226399682595262
400,1.555284039489925,0.95,0.47,0.025649521865748932
500,1.5452011767029763,0.93,0.42,0.02597143269875752
600,1.4979921884834766,0.94,0.43,0.025682385778054595
700,1.4641212623566389,0.95,0.42,0.025875341380015016
800,1.5388900235295295,0.91,0.465,0.026080164513717006
900,1.5644576061517,0.95,0.43,0.026282191239131083
1000,1.5006966579332948,0.96,0.465,0.026024615175889006
1100,1.5179165273532271,0.92,0.515,0.02571123426813366
1200,1.5027675166353582,0.92,0.515,0.02512035855241785
1300,1.547715643644333,0.89,0.475,0.024524867268545286
1400,1.4511309871077538,0.92,0.44,0.024534790423266322
1500,1.4492368381470442,0.96,0.425,0.024380560357323184
1600,1.514167146794498,0.9,0.475,0.024183175630501604
1700,1.4101716542616487,0.93,0.44,0.024041802676427842
1800,1.4447398032993077,0.88,0.455,0.024114850463645
1900,1.4389836983382702,0.86,0.505,0.024251806788795096
2000,1.2950524268299342,0.89,0.5,0.02406879146708109
